Time(ms),Type,X,Y,Z
---,ESP32 RESET,,,
38,ACC,0.426,-0.075,0.877
49,GYRO,13.123,17.944,15.625
72,MAG,-444.397,528.845,-257.373
137,ACC,0.487,0.027,0.876
149,GYRO,2.014,-6.653,3.784
172,MAG,-440.405,530.896,-259.827
237,ACC,0.458,0.101,0.918
248,GYRO,-6.836,-5.249,-3.174
271,MAG,-438.940,531.006,-260.706
337,ACC,0.540,0.098,0.873
348,GYRO,-16.296,-19.958,5.920
371,MAG,-439.050,531.152,-258.325
436,ACC,0.318,0.012,1.131
448,GYRO,8.118,-31.494,18.555
470,MAG,-440.222,536.316,-252.979
536,ACC,0.243,-0.106,0.951
547,GYRO,-7.812,14.587,-6.653
570,MAG,-440.662,539.099,-248.694
635,ACC,0.312,0.072,0.854
647,GYRO,-12.512,-1.953,12.634
670,MAG,-436.597,544.409,-251.294
735,ACC,0.331,-0.105,0.883
746,GYRO,-1.831,4.089,3.418
769,MAG,-432.971,549.170,-252.319
835,ACC,0.382,-0.085,0.866
846,GYRO,-5.310,-7.690,9.094
869,MAG,-432.532,551.770,-251.440
934,ACC,0.493,-0.182,0.792
946,GYRO,4.700,-12.756,18.188
968,MAG,-435.205,557.336,-246.863
1034,ACC,0.496,-0.089,1.131
1045,GYRO,7.507,6.165,23.010
1068,MAG,-438.538,563.708,-240.198
1133,ACC,0.149,0.084,0.887
1145,GYRO,-8.484,-10.315,2.747
1168,MAG,-437.878,570.007,-238.000
1233,ACC,0.469,-0.036,1.109
1244,GYRO,8.606,17.578,19.348
1267,MAG,-435.059,571.985,-238.074
1333,ACC,0.330,0.047,0.703
1344,GYRO,22.217,16.113,-12.329
1367,MAG,-431.982,571.912,-240.088
1432,ACC,0.401,-0.032,0.933
1444,GYRO,-0.183,12.024,-5.920
1466,MAG,-429.199,568.433,-243.018
1532,ACC,0.459,0.028,0.836
1543,GYRO,-10.437,-18.799,-9.766
1566,MAG,-427.844,568.396,-240.894
1631,ACC,0.665,0.040,0.958
1643,GYRO,2.441,1.831,9.888
1666,MAG,-426.929,569.714,-237.451
1731,ACC,0.452,0.074,1.415
1742,GYRO,13.611,8.728,13.123
1765,MAG,-423.486,571.289,-235.730
1831,ACC,0.073,-0.077,0.687
1842,GYRO,1.343,1.526,-13.672
1865,MAG,-421.326,570.850,-234.888
1930,ACC,0.386,0.137,1.104
1941,GYRO,-16.357,9.888,18.738
1964,MAG,-416.565,569.275,-238.367
2030,ACC,0.213,-0.201,0.744
2041,GYRO,4.944,17.944,12.329
2064,MAG,-409.973,573.743,-240.234
2129,ACC,0.420,0.010,0.977
2141,GYRO,4.456,7.385,23.865
2164,MAG,-402.539,578.796,-245.837
2229,ACC,0.431,-0.246,0.846
2240,GYRO,22.949,-9.949,22.888
2263,MAG,-397.778,583.337,-245.947
2328,ACC,0.446,-0.160,0.916
2340,GYRO,5.676,1.892,-3.296
2363,MAG,-396.899,583.704,-247.668
2428,ACC,0.437,-0.186,1.038
2439,GYRO,-2.075,22.461,28.381
2462,MAG,-395.508,587.292,-247.815
2528,ACC,0.108,0.267,1.008
2539,GYRO,4.272,-14.954,0.122
2562,MAG,-387.964,593.005,-251.184
2627,ACC,0.321,-0.026,0.903
2639,GYRO,15.625,-5.554,11.353
2661,MAG,-387.561,593.884,-252.026
2727,ACC,0.305,0.059,0.830
2738,GYRO,12.146,10.498,4.089
2761,MAG,-387.561,591.980,-253.857
2826,ACC,0.339,-0.142,0.946
2838,GYRO,-12.329,-5.310,-27.222
2861,MAG,-387.671,587.769,-255.066
2926,ACC,0.420,0.084,0.919
2937,GYRO,-2.625,-2.686,-32.349
2960,MAG,-392.725,581.030,-253.418
3026,ACC,0.378,-0.065,0.770
3037,GYRO,-15.991,-2.625,-31.555
3060,MAG,-398.035,572.681,-253.271
3125,ACC,0.535,0.065,1.055
3137,GYRO,-9.033,-6.042,-19.226
3159,MAG,-400.342,566.785,-253.455
3225,ACC,0.430,0.029,1.392
3236,GYRO,14.709,-22.705,-1.404
3259,MAG,-401.770,564.404,-253.821
3324,ACC,0.120,-0.110,0.750
3336,GYRO,-9.277,7.141,-33.203
3359,MAG,-408.179,559.314,-249.280
3424,ACC,0.381,0.148,0.984
3435,GYRO,-13.000,-6.226,0.977
3458,MAG,-407.849,558.728,-249.792
3523,ACC,0.310,-0.155,0.741
3535,GYRO,4.089,-0.122,2.808
3558,MAG,-407.886,559.644,-249.902
3623,ACC,0.476,0.008,0.945
3634,GYRO,6.409,2.197,23.071
3657,MAG,-406.787,560.376,-251.660
3723,ACC,0.442,-0.132,0.835
3734,GYRO,15.442,-27.344,33.813
3757,MAG,-404.443,565.649,-251.990
3822,ACC,0.445,0.100,1.494
3834,GYRO,-6.409,15.625,38.330
3856,MAG,-399.207,574.402,-254.333
3922,ACC,0.170,0.063,0.782
3933,GYRO,29.175,-2.563,33.569
3956,MAG,-392.908,582.751,-257.080
4021,ACC,0.362,0.045,0.992
4033,GYRO,11.169,12.207,2.869
4056,MAG,-386.646,584.290,-261.658
4121,ACC,0.350,0.120,0.881
4132,GYRO,14.343,1.587,7.385
4155,MAG,-382.324,584.363,-265.503
